date,total_articles,bullish_index,dominant_sentiment
2021-11-12,37,0.5945945945945946,neutral
2021-11-15,23,0.5652173913043478,neutral
2021-11-16,25,0.62,neutral
2021-11-17,26,0.6538461538461539,neutral
2021-11-18,31,0.5967741935483871,neutral
2021-11-19,50,0.59,positive
2021-11-22,21,0.7380952380952381,neutral
2021-11-23,29,0.6896551724137931,neutral
2021-11-24,27,0.7407407407407407,positive
2021-11-25,32,0.5625,neutral
2021-11-26,51,0.6568627450980392,positive
2021-11-29,32,0.640625,positive
2021-11-30,31,0.6290322580645161,positive
2021-12-01,30,0.5833333333333334,positive
2021-12-02,25,0.6,positive
2021-12-03,53,0.5849056603773585,positive
2021-12-06,28,0.5,neutral
2021-12-07,26,0.6346153846153846,neutral
2021-12-08,26,0.6538461538461539,positive
2021-12-09,32,0.703125,positive
2021-12-10,45,0.5888888888888889,positive
2021-12-13,15,0.8,positive
2021-12-14,25,0.54,positive
2021-12-15,26,0.5,neutral
2021-12-16,24,0.6041666666666666,positive
2021-12-17,49,0.6224489795918368,positive
2021-12-20,19,0.7631578947368421,positive
2021-12-21,35,0.7,neutral
2021-12-22,27,0.7777777777777778,positive
2021-12-23,25,0.64,positive
2021-12-24,44,0.6704545454545454,positive
2021-12-27,19,0.7105263157894737,positive
2021-12-28,28,0.48214285714285715,neutral
2021-12-29,30,0.5,neutral
2021-12-30,22,0.6818181818181818,positive
2021-12-31,37,0.5945945945945946,neutral
2022-01-03,8,0.6875,positive
2022-01-04,30,0.5333333333333333,neutral
2022-01-05,32,0.734375,positive
2022-01-06,26,0.5769230769230769,neutral
2022-01-07,46,0.6739130434782609,positive
2022-01-10,34,0.6176470588235294,positive
2022-01-11,30,0.6,positive
2022-01-12,34,0.5441176470588235,neutral
2022-01-13,34,0.45588235294117646,neutral
2022-01-14,43,0.5930232558139535,neutral
2022-01-17,35,0.5,neutral
2022-01-18,39,0.48717948717948717,neutral
2022-01-19,50,0.58,neutral
2022-01-20,43,0.5465116279069767,neutral
2022-01-21,56,0.5803571428571429,neutral
2022-01-24,29,0.5689655172413793,positive
2022-01-25,34,0.5588235294117647,neutral
2022-01-26,32,0.578125,neutral
2022-01-27,26,0.5576923076923077,positive
2022-01-28,51,0.49019607843137253,neutral
2022-01-31,8,0.5,neutral
2022-02-01,10,0.6,neutral
2022-02-02,9,0.6666666666666666,positive
2022-02-03,8,0.625,neutral
2022-02-04,27,0.5740740740740741,neutral
2022-02-07,33,0.5757575757575758,neutral
2022-02-08,38,0.5526315789473685,neutral
2022-02-09,32,0.609375,neutral
2022-02-10,32,0.59375,neutral
2022-02-11,32,0.59375,positive
2022-02-14,29,0.4827586206896552,neutral
2022-02-15,26,0.5576923076923077,neutral
2022-02-16,18,0.6666666666666666,positive
2022-02-17,22,0.6136363636363636,neutral
2022-02-18,43,0.5930232558139535,neutral
2022-02-21,18,0.6388888888888888,neutral
2022-02-22,23,0.6304347826086957,positive
2022-02-23,18,0.5833333333333334,neutral
2022-02-24,17,0.7058823529411765,positive
2022-02-25,35,0.6,positive
2022-02-28,31,0.6612903225806451,positive
2022-03-01,31,0.5806451612903226,neutral
2022-03-02,22,0.5681818181818182,neutral
2022-03-03,26,0.6730769230769231,positive
2022-03-04,49,0.6836734693877551,positive
2022-03-07,24,0.5416666666666666,neutral
2022-03-08,27,0.6481481481481481,neutral
2022-03-09,25,0.66,positive
2022-03-10,24,0.7291666666666666,positive
2022-03-11,46,0.5869565217391305,neutral
2022-03-14,24,0.6458333333333334,positive
2022-03-15,30,0.6166666666666667,positive
2022-03-16,32,0.625,neutral
2022-03-17,24,0.6875,positive
2022-03-18,54,0.6574074074074074,neutral
2022-03-21,27,0.5925925925925926,neutral
2022-03-22,34,0.6470588235294118,positive
2022-03-23,36,0.6111111111111112,neutral
2022-03-24,36,0.6388888888888888,positive
2022-03-25,45,0.5555555555555556,neutral
2022-03-28,31,0.6129032258064516,neutral
2022-03-29,40,0.625,positive
2022-03-30,38,0.5263157894736842,neutral
2022-03-31,29,0.5862068965517241,neutral
2022-04-01,63,0.5238095238095238,neutral
2022-04-04,29,0.6379310344827587,positive
2022-04-05,41,0.573170731707317,neutral
2022-04-06,34,0.6029411764705882,neutral
2022-04-07,30,0.5333333333333333,neutral
2022-04-08,45,0.5111111111111111,positive
2022-04-11,13,0.6538461538461539,neutral
2022-04-12,46,0.5217391304347826,neutral
2022-04-13,41,0.524390243902439,neutral
2022-04-14,45,0.5777777777777777,positive
2022-04-15,66,0.5757575757575758,neutral
2022-04-18,46,0.5,neutral
2022-04-19,49,0.5,neutral
2022-04-20,63,0.5396825396825397,neutral
2022-04-21,48,0.5625,neutral
2022-04-22,69,0.6521739130434783,neutral
2022-04-25,58,0.5258620689655172,neutral
2022-04-26,44,0.5454545454545454,neutral
2022-04-27,37,0.5540540540540541,neutral
2022-04-28,26,0.5192307692307693,neutral
2022-04-29,64,0.5703125,neutral
2022-05-02,14,0.6428571428571429,neutral
2022-05-03,19,0.6578947368421053,positive
2022-05-04,51,0.6764705882352942,positive
2022-05-05,44,0.5227272727272727,neutral
2022-05-06,59,0.6610169491525424,positive
2022-05-09,28,0.625,positive
2022-05-10,42,0.7023809523809523,positive
2022-05-11,18,0.7222222222222222,positive
2022-05-12,9,0.6666666666666666,positive
2022-05-13,31,0.5806451612903226,positive
2022-05-16,18,0.6111111111111112,positive
2022-05-17,27,0.7037037037037037,positive
2022-05-18,18,0.6666666666666666,positive
2022-05-19,11,0.7727272727272727,positive
2022-05-20,31,0.7096774193548387,positive
2022-05-23,21,0.6428571428571429,positive
2022-05-24,20,0.55,neutral
2022-05-25,19,0.5789473684210527,neutral
2022-05-26,21,0.5,neutral
2022-05-27,36,0.6666666666666666,positive
2022-05-30,17,0.6470588235294118,neutral
2022-05-31,11,0.6363636363636364,neutral
2022-06-01,17,0.6176470588235294,neutral
2022-06-02,15,0.6666666666666666,positive
2022-06-03,38,0.6710526315789473,positive
2022-06-06,16,0.625,positive
2022-06-07,15,0.5666666666666667,neutral
2022-06-08,21,0.5476190476190477,positive
2022-06-09,19,0.631578947368421,neutral
2022-06-10,34,0.6764705882352942,positive
2022-06-13,15,0.7,positive
2022-06-14,20,0.75,positive
2022-06-15,15,0.7666666666666667,positive
2022-06-16,14,0.6071428571428571,positive
2022-06-17,34,0.5735294117647058,positive
2022-06-20,13,0.6923076923076923,positive
2022-06-21,15,0.6666666666666666,positive
2022-06-22,17,0.6470588235294118,neutral
2022-06-23,17,0.7058823529411765,positive
2022-06-24,30,0.65,positive
2022-06-27,16,0.71875,positive
2022-06-28,16,0.65625,positive
2022-06-29,18,0.5555555555555556,neutral
2022-06-30,15,0.6333333333333333,positive
2022-07-01,34,0.6764705882352942,positive
2022-07-04,21,0.6666666666666666,positive
2022-07-05,18,0.6944444444444444,neutral
2022-07-06,16,0.6875,positive
2022-07-07,12,0.5416666666666666,neutral
2022-07-08,37,0.6891891891891891,positive
2022-07-11,19,0.631578947368421,positive
2022-07-12,21,0.5714285714285714,neutral
2022-07-13,22,0.6363636363636364,positive
2022-07-14,18,0.6944444444444444,positive
2022-07-15,42,0.6904761904761905,positive
2022-07-18,15,0.6333333333333333,neutral
2022-07-19,18,0.75,positive
2022-07-20,20,0.525,neutral
2022-07-21,18,0.6388888888888888,neutral
2022-07-22,39,0.5,neutral
2022-07-25,17,0.6764705882352942,positive
2022-07-26,26,0.5192307692307693,neutral
2022-07-27,16,0.5625,neutral
2022-07-28,19,0.5789473684210527,neutral
2022-07-29,48,0.5104166666666666,neutral
2022-08-01,16,0.625,neutral
2022-08-02,23,0.5869565217391305,neutral
2022-08-03,21,0.6666666666666666,neutral
2022-08-04,28,0.7321428571428571,positive
2022-08-05,36,0.7083333333333334,positive
2022-08-08,13,0.5,neutral
2022-08-09,18,0.6111111111111112,neutral
2022-08-10,17,0.47058823529411764,neutral
2022-08-11,16,0.75,positive
2022-08-12,29,0.5862068965517241,neutral
